,,,,,,,,,,,,,,,,
Effective Date-,,,,,,,,,,,,,,,,
Employees Employed in Construction,,,,,,,,,,,,,,,,
,A,,,B,,,C,,,,,,,,,
,Basic Per Day,VDA Per Day,Total Per Day,Basic Per Day,VDA Per Day,Total Per Day,Basic Per Day,VDA Per Day,Total Per Day,,,,,,,
Unskilled,523,213,736,437,179,616,350,144,494,,,,,,,
Semi-Skilled/Unskilled Supervisory,579,237,816,494,201,695,410,167,577,,,,,,,
Skilled/Clerical,637,260,897,579,237,816,494,201,695,,,,,,,
Highly Skilled,693,280,973,637,260,897,579,237,816,,,,,,,
Employees Employed in Loading & Unloading,,,,,,,,,,,,,,,,
Area,Basic Per Day,VDA Per Day,Total Per Day,,,,,,,,,,"Industrial Workers-Loading and Unloading in Goods Sheds, Parcel offices of Railways, Other goods sheds,Godowns, Warehouses and other Similar Employments , Docks and Ports,Passengers Goods and Cargo Carried out at airports (Both Internaltional & Domestics)",,,
A,523,213,736,,,,,,,,,,Area,Basic Wages Per Day,V.D.A. Per Day,Total Per Day
B,437,179,616,,,,,,,,,,(A),523,172,695
C,350,144,494,,,,,,,,,,(B),437,144,581